geneID,num_ERP,num_ERP_flag_analyzable,num_ERP_unbiased,num_ERP_F_limited,num_ERP_M_limited,num_ERP_F_bias,num_ERP_M_bias,flag_F_readCnt0,flag_M_readCnt0,F_total_readCnt,M_total_readCnt,flag_gene_expressed_readCnt10
FBgn0002570,8,2.0,2,0,0,0,0,1,1,165.0,254.0,1
FBgn0002573,6,0.0,0,0,0,0,0,1,1,9.0,6.0,1
FBgn0002576,10,2.0,2,0,0,0,0,1,1,92.0,69.0,1
FBgn0002577,5,0.0,0,0,0,0,0,1,1,13.0,9.0,1
FBgn0002579,15,9.0,6,0,0,3,0,1,1,195779.0,128502.0,1
FBgn0002590,34,16.0,6,0,0,10,0,1,1,118480.0,58128.0,1
FBgn0002592,1,1.0,1,0,0,0,0,1,1,93.0,175.0,1
FBgn0002593,6,6.0,1,0,0,5,0,1,1,184527.0,106446.0,1
FBgn0002609,2,1.0,1,0,0,0,0,1,1,92.0,130.0,1
FBgn0002622,5,5.0,2,0,0,3,0,1,1,102888.0,54094.0,1
FBgn0002626,10,4.0,1,0,0,3,0,1,1,173228.0,84656.0,1
FBgn0002632,1,0.0,0,0,0,0,0,1,1,9.0,6.0,1
FBgn0002633,2,0.0,0,0,0,0,0,1,1,5.0,18.0,1
FBgn0002638,15,4.0,4,0,0,0,0,1,1,902.0,909.0,1
FBgn0002641,11,3.0,3,0,0,0,0,1,1,326.0,395.0,1
FBgn0002643,50,6.0,5,0,0,0,1,1,1,1350.0,1978.0,1
FBgn0002645,6,3.0,2,0,0,0,1,1,1,1158.0,1561.0,1
FBgn0002673,3,2.0,2,0,0,0,0,1,1,125.0,153.0,1
FBgn0002707,11,0.0,0,0,0,0,0,1,1,47.0,19.0,1
FBgn0002709,10,1.0,1,0,0,0,0,1,1,83.0,126.0,1
FBgn0002715,3,2.0,2,0,0,0,0,1,1,105.0,112.0,1
FBgn0002716,10,1.0,1,0,0,0,0,1,1,346.0,451.0,1
FBgn0002719,28,9.0,3,0,0,6,0,1,1,39747.0,24038.0,1
FBgn0002723,13,1.0,1,0,0,0,0,1,1,1581.0,1855.0,1
FBgn0002732,1,0.0,0,0,0,0,0,1,0,5.0,0.0,0
FBgn0002733,2,1.0,0,0,0,0,1,1,1,504.0,836.0,1
FBgn0002734,2,0.0,0,0,0,0,0,1,0,4.0,0.0,0
FBgn0002736,5,2.0,2,0,0,0,0,1,1,1905.0,1680.0,1
FBgn0002772,45,12.0,10,0,0,2,0,1,1,16785.0,16915.0,1
FBgn0002773,9,4.0,4,0,0,0,0,1,1,25008.0,29833.0,1
FBgn0002774,26,3.0,3,0,0,0,0,1,1,1688.0,2069.0,1
FBgn0002775,12,5.0,5,0,0,0,0,1,1,284.0,404.0,1
FBgn0002778,18,6.0,3,0,0,0,3,1,1,2140.0,3253.0,1
FBgn0002780,15,4.0,2,0,0,2,0,1,1,2910.0,2100.0,1
FBgn0002783,38,8.0,8,0,0,0,0,1,1,672.0,848.0,1
FBgn0002787,7,2.0,2,0,0,0,0,1,1,2998.0,3363.0,1
FBgn0002789,13,5.0,4,0,0,0,1,1,1,8084.0,10672.0,1
FBgn0002791,21,5.0,5,0,0,0,0,1,1,340.0,399.0,1
FBgn0002842,2,0.0,0,0,0,0,0,1,1,1.0,1.0,0
FBgn0002862,3,1.0,0,0,0,0,0,1,1,57.0,98.0,1
FBgn0002863,5,1.0,0,0,0,1,0,1,1,264.0,199.0,1
FBgn0002865,1,0.0,0,0,0,0,0,0,1,0.0,1.0,0
FBgn0002868,4,3.0,3,0,0,0,0,1,1,20185.0,19869.0,1
FBgn0002869,2,1.0,1,0,0,0,0,1,1,118.0,163.0,1
FBgn0002872,13,2.0,2,0,0,0,0,1,1,142.0,146.0,1
FBgn0002873,6,0.0,0,0,0,0,0,1,1,26.0,11.0,1
FBgn0002878,2,1.0,0,0,0,0,0,1,1,35.0,49.0,1
FBgn0002887,7,2.0,2,0,0,0,0,1,1,151.0,150.0,1
FBgn0002891,21,4.0,3,0,0,1,0,1,1,274.0,273.0,1
FBgn0002899,9,0.0,0,0,0,0,0,1,1,9.0,22.0,1
FBgn0002901,5,2.0,0,0,0,0,0,1,1,21.0,61.0,1
FBgn0002905,9,2.0,1,0,0,1,0,1,1,171.0,119.0,1
FBgn0002906,10,2.0,2,0,0,0,0,1,1,97.0,120.0,1
FBgn0002909,23,6.0,6,0,0,0,0,1,1,2534.0,2772.0,1
FBgn0002914,7,2.0,2,0,0,0,0,1,1,1017.0,1298.0,1
FBgn0002917,48,4.0,4,0,0,0,0,1,1,473.0,725.0,1
FBgn0002921,362,60.0,51,0,0,1,8,1,1,39584.0,59249.0,1
FBgn0002922,6,0.0,0,0,0,0,0,1,1,26.0,3.0,1
FBgn0002924,7,3.0,3,0,0,0,0,1,1,272.0,368.0,1
FBgn0002926,3,2.0,0,0,0,0,0,1,1,26.0,46.0,1
FBgn0002930,11,3.0,1,0,0,2,0,1,1,12543.0,10599.0,1
FBgn0002931,4,1.0,1,0,0,0,0,1,1,119.0,140.0,1
FBgn0002932,10,2.0,2,0,0,0,0,1,1,156.0,219.0,1
FBgn0002933,1,0.0,0,0,0,0,0,1,0,2.0,0.0,0
FBgn0002936,3,2.0,2,0,0,0,0,1,1,12600.0,14676.0,1
FBgn0002937,13,3.0,3,0,0,0,0,1,1,2715.0,2859.0,1
FBgn0002938,211,46.0,41,0,0,0,5,1,1,40646.0,48257.0,1
FBgn0002939,13,7.0,6,0,0,1,0,1,1,898.0,870.0,1
FBgn0002940,53,30.0,28,0,0,0,2,1,1,616598.0,766526.0,1
FBgn0002941,6,1.0,0,0,0,0,0,1,1,40.0,28.0,1
FBgn0002945,13,2.0,2,0,0,0,0,1,1,476.0,682.0,1
FBgn0002948,18,5.0,3,0,0,1,1,1,1,1183.0,960.0,1
FBgn0002962,2,0.0,0,0,0,0,0,1,1,16.0,19.0,1
FBgn0002973,28,7.0,6,0,0,0,1,1,1,896.0,1242.0,1
FBgn0002985,2,2.0,1,0,0,0,1,1,1,37.0,118.0,1
FBgn0002989,11,3.0,2,0,0,1,0,1,1,362.0,362.0,1
FBgn0003002,5,1.0,1,0,0,0,0,1,1,29.0,94.0,1
FBgn0003008,9,2.0,2,0,0,0,0,1,1,1362.0,1581.0,1
FBgn0003011,11,2.0,1,0,0,0,1,1,1,139.0,316.0,1
FBgn0003015,2,0.0,0,0,0,0,0,1,1,2.0,1.0,0
FBgn0003016,62,10.0,10,0,0,0,0,1,1,1044.0,1479.0,1
FBgn0003023,1,0.0,0,0,0,0,0,0,1,0.0,2.0,0
FBgn0003028,7,4.0,4,0,0,0,0,1,1,335.0,359.0,1
FBgn0003034,1,0.0,0,0,0,0,0,0,1,0.0,18.0,1
FBgn0003041,26,4.0,4,0,0,0,0,1,1,232.0,291.0,1
FBgn0003042,8,4.0,4,0,0,0,0,1,1,512.0,701.0,1
FBgn0003044,9,3.0,3,0,0,0,0,1,1,355.0,435.0,1
FBgn0003046,2,1.0,0,0,0,0,0,1,1,28.0,40.0,1
FBgn0003048,25,3.0,3,0,0,0,0,1,1,459.0,585.0,1
FBgn0003053,11,2.0,1,0,0,0,1,1,1,354.0,560.0,1
FBgn0003060,1,1.0,0,0,0,0,0,1,1,58.0,14.0,1
FBgn0003062,5,2.0,0,0,0,2,0,1,1,466.0,261.0,1
FBgn0003065,1,0.0,0,0,0,0,0,1,1,5.0,4.0,0
FBgn0003067,6,4.0,0,0,0,4,0,1,1,130638.0,108222.0,1
FBgn0003068,28,5.0,5,0,0,0,0,1,1,802.0,891.0,1
FBgn0003071,74,12.0,8,0,0,0,4,1,1,3585.0,4154.0,1
FBgn0003074,39,11.0,9,0,0,2,0,1,1,25421.0,22877.0,1
FBgn0003076,16,5.0,2,0,0,2,1,1,1,16271.0,13470.0,1
FBgn0003079,15,4.0,4,0,0,0,0,1,1,903.0,852.0,1
FBgn0003082,6,2.0,2,0,0,0,0,1,1,348.0,385.0,1
FBgn0003086,1,0.0,0,0,0,0,0,0,1,0.0,4.0,0
FBgn0003087,2,0.0,0,0,0,0,0,1,1,2.0,15.0,1
FBgn0003089,9,0.0,0,0,0,0,0,1,1,19.0,23.0,1
FBgn0003090,21,3.0,3,0,0,0,0,1,1,204.0,275.0,1
FBgn0003091,118,13.0,10,0,0,0,3,1,1,4481.0,7156.0,1
FBgn0003093,83,13.0,13,0,0,0,0,1,1,4291.0,6393.0,1
FBgn0003114,1,0.0,0,0,0,0,0,1,0,1.0,0.0,0
FBgn0003116,8,3.0,2,0,0,1,0,1,1,2079.0,1496.0,1
FBgn0003117,10,1.0,0,0,0,0,0,1,1,76.0,61.0,1
FBgn0003118,25,2.0,2,0,0,0,0,1,1,371.0,523.0,1
FBgn0003124,1,0.0,0,0,0,0,0,0,1,0.0,2.0,0
FBgn0003129,3,2.0,0,0,0,0,0,1,1,43.0,47.0,1
FBgn0003130,5,0.0,0,0,0,0,0,1,1,14.0,28.0,1
FBgn0003132,4,0.0,0,0,0,0,0,1,1,16.0,6.0,1
FBgn0003134,27,10.0,9,0,0,0,1,1,1,9206.0,11014.0,1
FBgn0003137,79,8.0,5,0,0,3,0,1,1,2046.0,1263.0,1
FBgn0003139,10,7.0,6,0,0,0,1,1,1,917.0,1165.0,1
FBgn0003140,1,0.0,0,0,0,0,0,0,1,0.0,5.0,0
FBgn0003141,24,4.0,4,0,0,0,0,1,1,4279.0,4158.0,1
FBgn0003145,1,0.0,0,0,0,0,0,1,0,11.0,0.0,1
FBgn0003149,35,6.0,6,0,0,0,0,1,1,1569.0,2050.0,1
FBgn0003159,22,6.0,6,0,0,0,0,1,1,884.0,1113.0,1
FBgn0003162,22,4.0,3,0,0,1,0,1,1,7919.0,7296.0,1
FBgn0003165,75,12.0,9,0,0,0,3,1,1,6883.0,11468.0,1
FBgn0003169,25,4.0,3,0,0,1,0,1,1,1241.0,1186.0,1
FBgn0003174,8,2.0,2,0,0,0,0,1,1,108.0,161.0,1
FBgn0003175,117,5.0,5,0,0,0,0,1,1,1726.0,2110.0,1
FBgn0003187,9,0.0,0,0,0,0,0,1,1,17.0,21.0,1
FBgn0003189,17,4.0,2,0,0,2,0,1,1,525.0,422.0,1
FBgn0003204,32,5.0,2,0,0,3,0,1,1,2077.0,1557.0,1
FBgn0003205,16,4.0,4,0,0,0,0,1,1,1734.0,2012.0,1
FBgn0003206,10,3.0,3,0,0,0,0,1,1,1500.0,1697.0,1
FBgn0003209,76,17.0,14,0,0,0,3,1,1,1263.0,1829.0,1
FBgn0003210,24,4.0,4,0,0,0,0,1,1,2184.0,2686.0,1
FBgn0003218,110,17.0,15,0,0,1,1,1,1,5769.0,6337.0,1
FBgn0003227,5,2.0,1,0,0,0,1,1,1,870.0,1553.0,1
FBgn0003231,10,3.0,3,0,0,0,0,1,1,8173.0,7516.0,1
FBgn0003248,22,8.0,7,0,0,0,1,1,1,19369.0,24696.0,1
FBgn0003249,2,2.0,2,0,0,0,0,1,1,39756.0,47685.0,1
FBgn0003250,6,4.0,2,0,0,0,2,1,1,74727.0,110088.0,1
FBgn0003254,4,1.0,0,0,0,0,0,1,1,13.0,22.0,1
FBgn0003255,14,3.0,3,0,0,0,0,1,1,259.0,212.0,1
FBgn0003256,128,15.0,15,0,0,0,0,1,1,1771.0,1797.0,1
FBgn0003257,5,3.0,3,0,0,0,0,1,1,380.0,456.0,1
FBgn0003261,77,8.0,8,0,0,0,0,1,1,6195.0,6711.0,1
FBgn0003267,3,0.0,0,0,0,0,0,1,1,9.0,2.0,1
FBgn0003268,15,2.0,2,0,0,0,0,1,1,81.0,73.0,1
