geneID,num_UJC,num_UJC_flag_analyzable,num_UJC_unbiased,num_UJC_F_limited,num_UJC_M_limited,num_UJC_F_bias,num_UJC_M_bias,flag_F_readCnt0,flag_M_readCnt0,F_total_readCnt,M_total_readCnt,flag_gene_expressed_readCnt10
FBgn0036168,13,0,0,0,0,0,0,1,1,49,50,1
FBgn0036170,59,4,4,0,0,0,0,1,1,569,616,1
FBgn0036173,147,5,3,0,0,1,1,1,1,2663,2773,1
FBgn0036176,2,0,0,0,0,0,0,0,1,0,2,0
FBgn0036178,2,0,0,0,0,0,0,1,1,1,9,1
FBgn0036179,25,1,1,0,0,0,0,1,1,116,130,1
FBgn0036180,122,6,6,0,0,0,0,1,1,616,715,1
FBgn0036181,19,1,0,0,0,0,0,1,1,37,23,1
FBgn0036183,38,4,4,0,0,0,0,1,1,250,366,1
FBgn0036184,3,1,1,0,0,0,0,1,1,508,521,1
FBgn0036186,26,2,0,0,0,0,0,1,1,64,56,1
FBgn0036187,21,4,3,0,0,1,0,1,1,290,205,1
FBgn0036188,49,3,3,0,0,0,0,1,1,400,511,1
FBgn0036191,72,3,3,0,0,0,0,1,1,345,336,1
FBgn0036192,81,6,6,0,0,0,0,1,1,755,742,1
FBgn0036193,60,6,5,0,0,0,1,1,1,413,580,1
FBgn0036194,66,5,5,0,0,0,0,1,1,994,762,1
FBgn0036195,16,2,2,0,0,0,0,1,1,200,226,1
FBgn0036196,74,5,4,0,0,0,1,1,1,644,807,1
FBgn0036198,62,5,5,0,0,0,0,1,1,1248,1413,1
FBgn0036199,376,8,7,0,0,1,0,1,1,1752,1640,1
FBgn0036202,96,3,2,0,0,0,1,1,1,518,817,1
FBgn0036204,1,0,0,0,0,0,0,1,1,7,16,1
FBgn0036205,13,1,0,0,0,0,0,1,1,67,43,1
FBgn0036206,2,0,0,0,0,0,0,1,1,4,9,1
FBgn0036207,22,4,4,0,0,0,0,1,1,259,304,1
FBgn0036208,236,5,2,0,0,3,0,1,1,4274,2909,1
FBgn0036210,388,9,7,0,0,2,0,1,1,1806,1693,1
FBgn0036211,1428,42,33,0,0,8,1,1,1,27920,24723,1
FBgn0036212,10,2,2,0,0,0,0,1,1,106,158,1
FBgn0036213,1293,30,10,0,0,20,0,1,1,148253,83731,1
FBgn0036214,2,0,0,0,0,0,0,1,1,13,1,1
FBgn0036217,1,0,0,0,0,0,0,1,1,1,3,0
FBgn0036218,1,0,0,0,0,0,0,1,0,1,0,0
FBgn0036219,8,0,0,0,0,0,0,1,1,6,8,1
FBgn0036220,2,0,0,0,0,0,0,1,1,6,10,1
FBgn0036222,1,0,0,0,0,0,0,1,0,4,0,0
FBgn0036224,3,0,0,0,0,0,0,1,1,3,6,0
FBgn0036225,16,1,1,0,0,0,0,1,1,136,98,1
FBgn0036226,1,0,0,0,0,0,0,1,1,1,16,1
FBgn0036227,1,0,0,0,0,0,0,0,1,0,5,0
FBgn0036235,83,1,1,0,0,0,0,1,1,79,94,1
FBgn0036236,26,3,3,0,0,0,0,1,1,132,183,1
FBgn0036237,59,2,2,0,0,0,0,1,1,3406,3714,1
FBgn0036239,173,8,8,0,0,0,0,1,1,1677,1894,1
FBgn0036240,48,4,3,0,0,1,0,1,1,224,264,1
FBgn0036242,2,0,0,0,0,0,0,1,1,9,7,1
FBgn0036246,1,0,0,0,0,0,0,1,1,1,7,0
FBgn0036248,21,3,3,0,0,0,0,1,1,448,521,1
FBgn0036249,190,6,5,0,0,0,1,1,1,1559,1649,1
FBgn0036250,1,0,0,0,0,0,0,1,0,4,0,0
FBgn0036254,11,2,2,0,0,0,0,1,1,176,160,1
FBgn0036255,199,8,7,0,0,0,1,1,1,2924,3589,1
FBgn0036257,237,6,5,0,0,0,1,1,1,1272,1781,1
FBgn0036258,299,11,11,0,0,0,0,1,1,7486,7011,1
FBgn0036259,41,3,2,0,0,1,0,1,1,216,250,1
FBgn0036260,34,2,2,0,0,0,0,1,1,366,676,1
FBgn0036262,1448,33,28,0,0,2,3,1,1,105641,125667,1
FBgn0036263,69,3,3,0,0,0,0,1,1,863,1001,1
FBgn0036264,10,1,1,0,0,0,0,1,1,278,661,1
FBgn0036266,21,0,0,0,0,0,0,1,1,40,53,1
FBgn0036271,42,1,0,0,0,1,0,1,1,862,762,1
FBgn0036272,66,4,4,0,0,0,0,1,1,763,1170,1
FBgn0036273,29,4,3,0,0,0,1,1,1,275,362,1
FBgn0036274,23,2,2,0,0,0,0,1,1,69,106,1
FBgn0036277,49,3,2,0,0,0,1,1,1,1259,1559,1
FBgn0036278,47,3,3,0,0,0,0,1,1,360,541,1
FBgn0036279,386,10,9,0,0,0,1,1,1,1113,1881,1
FBgn0036282,16,1,1,0,0,0,0,1,1,71,37,1
FBgn0036285,22,1,1,0,0,0,0,1,1,151,168,1
FBgn0036286,73,2,2,0,0,0,0,1,1,3448,4029,1
FBgn0036287,27,3,2,0,0,0,1,1,1,326,438,1
FBgn0036288,99,5,4,0,0,1,0,1,1,589,622,1
FBgn0036289,166,4,4,0,0,0,0,1,1,3136,3799,1
FBgn0036290,129,6,6,0,0,0,0,1,1,2927,2848,1
FBgn0036291,42,4,4,0,0,0,0,1,1,352,511,1
FBgn0036292,31,2,2,0,0,0,0,1,1,1257,1489,1
FBgn0036294,34,4,4,0,0,0,0,1,1,1098,1574,1
FBgn0036298,31,3,3,0,0,0,0,1,1,611,585,1
FBgn0036299,64,3,3,0,0,0,0,1,1,668,1007,1
FBgn0036300,36,1,0,0,0,1,0,1,1,3701,2649,1
FBgn0036301,26,3,2,0,0,1,0,1,1,345,343,1
FBgn0036302,332,5,5,0,0,0,0,1,1,591,880,1
FBgn0036305,128,6,6,0,0,0,0,1,1,826,971,1
FBgn0036306,117,5,5,0,0,0,0,1,1,661,565,1
FBgn0036309,66,5,5,0,0,0,0,1,1,402,505,1
FBgn0036310,1,0,0,0,0,0,0,0,1,0,5,0
FBgn0036314,27,1,1,0,0,0,0,1,1,1279,1132,1
FBgn0036316,360,6,3,0,0,3,0,1,1,5691,5305,1
FBgn0036317,141,8,7,0,0,0,1,1,1,549,871,1
FBgn0036318,1309,39,38,0,0,1,0,1,1,5786,7317,1
FBgn0036319,74,6,5,0,0,0,1,1,1,947,1613,1
FBgn0036323,5,1,0,0,0,0,0,1,1,32,46,1
FBgn0036324,5,2,2,0,0,0,0,1,1,130,120,1
FBgn0036325,1,0,0,0,0,0,0,0,1,0,4,0
FBgn0036331,35,3,3,0,0,0,0,1,1,166,185,1
FBgn0036332,22,2,2,0,0,0,0,1,1,180,139,1
